26.3916,33.7242,37.86991,37.58788,51.33258,63.38829,68.5361,71.97298,77.3895,78.17,84.48586,87.26494,90.16869,96.79549,97.56746,100.6933,100,98.97265,101.7793,100.3018,108.2715,112.7218,114.6241,112.7088,120.4377,118.6327,124.9631,133.6641,130.5929,113.4152,121.4456,119.8346,99.03428
49.25751,56.4613,59.98415,57.77331,74.776,87.19805,90.56696,91.32864,95.07291,91.93455,95.70083,96.59438,97.11538,102.0889,100.7484,102.3139,100,97.73745,98.92358,93.51025,97.70575,99.29185,99.06796,95.75068,98.89345,95.70543,98.23419,103.0543,99.18497,87.42419,91.65295,92.93359,76.89143
72.09385,80.22707,82.71808,77.52467,95.5658,107.8506,109.4686,107.6856,109.6164,103.6538,105.1898,104.395,102.5103,106.0473,103.3069,103.5367,100,96.75434,96.71768,89.8873,91.94998,92.03378,90.57324,86.44835,87.46883,83.85017,84.57272,87.32262,83.30048,74.02843,76.45097,78.90733,65.35223
92.61405,101.9581,103.3765,95.12794,113.3156,125.2983,125.3522,121.3277,121.5781,113.4646,113.1087,110.866,106.8102,109.1327,105.3864,104.4949,100,95.95988,94.96493,87.75369,88.48096,87.69701,85.44019,80.79997,80.78611,77.118,76.92428,78.45497,74.52435,66.45139,67.95769,70.86259,58.73814
110.4323,120.9921,121.4154,110.35,128.3208,139.9632,138.6628,132.7117,131.4807,121.6687,119.7192,116.2494,110.3044,111.6056,107.0961,105.2656,100,95.30894,93.5433,86.39173,86.21353,84.88705,82.07648,77.08083,76.55052,72.98707,72.30688,73.0593,69.30818,61.8228,62.84261,65.87109,54.63718
125.676,137.3576,136.8979,123.3411,140.9553,152.2676,149.8106,142.2211,139.7116,128.5307,125.2422,120.7377,113.1746,113.6186,108.5109,105.8944,100,94.77139,92.37702,85.47068,84.64431,82.9586,79.74282,74.48887,73.70663,70.30616,69.36356,69.58967,66.04192,58.83351,59.59092,62.59285,51.94581
138.7225,151.4089,150.1763,134.4424,151.6577,162.6662,159.2204,150.234,146.6244,134.318,129.8968,124.515,115.5657,115.2853,109.6957,106.4158,100,94.32193,91.40616,84.81601,83.5041,81.56838,78.0433,72.59335,71.69943,68.47867,67.39567,67.24768,63.90121,56.80632,57.42333,60.33014,50.08958
149.9319,163.5082,161.6011,143.9704,160.7878,171.5228,167.2281,157.0446,152.4861,139.2398,133.8534,127.7226,117.5818,116.6841,110.6983,106.8539,100,93.94199,90.58811,84.33227,82.64396,80.52728,76.75856,71.15495,70.22633,67.18365,66.02962,65.60521,62.44776,55.3776,55.92358,58.70598,48.75824
159.6152,173.9765,171.4805,152.1949,168.6341,179.1249,174.0973,162.8818,157.5013,143.4601,137.2447,130.47,119.2994,117.8719,111.5547,107.2262,100,93.61767,89.89146,83.96345,81.97541,79.7235,75.75807,70.03095,69.11053,66.23643,65.05196,64.4168,61.43263,54.33847,54.85401,57.50235,47.77239
168.031,183.0853,180.0733,159.3386,175.4267,185.7002,180.0359,167.9247,161.8284,147.1073,140.1747,132.8423,120.7765,118.8908,112.2928,107.5458,100,93.33835,89.29257,83.67498,81.44305,79.08738,74.96001,69.13154,68.24317,65.52526,64.33453,63.53452,60.70749,53.56283,54.07211,56.58657,47.0229
175.3904,191.0579,187.5919,165.5828,181.3486,191.4287,185.2077,172.3141,165.5909,150.2828,142.7251,134.9064,122.0576,119.7726,112.934,107.8225,100,93.09581,88.7733,83.44444,81.01047,78.57342,74.31052,68.3975,67.55406,64.97926,63.79673,62.86498,60.17979,52.9709,53.48838,55.87399,46.44017
181.8646,198.0768,194.2094,171.0741,186.5457,196.4532,189.7427,176.1614,168.886,153.0666,144.9607,136.715,123.1772,120.542,113.4951,108.0641,100,92.88364,88.31956,83.25675,80.6529,78.15076,73.77288,67.78832,66.99619,64.55183,63.38606,62.34707,59.78975,52.51034,53.04458,55.30864,45.9782
187.5936,204.2913,200.0673,175.9318,191.1355,200.8885,193.7449,179.5555,171.791,155.523,146.9329,138.3101,124.1626,121.2183,113.9895,108.2765,100,92.69675,87.9203,83.1016,80.35308,77.79802,73.32147,67.27566,66.53741,64.21177,63.06772,61.94007,59.49812,52.14622,52.70218,54.85276,45.60595
192.6909,209.8233,205.281,180.2529,195.2125,204.8269,197.2979,182.5678,174.3677,157.7034,148.6834,139.7256,125.0355,121.8166,114.4278,108.4644,100,92.53112,87.5667,82.97157,80.09846,77.49976,72.93766,66.83885,66.15479,63.93717,62.81747,61.61551,59.27785,51.85406,52.43437,54.47965,45.30154
197.2495,214.7727,209.9449,184.1166,198.8538,208.3431,200.4696,185.2562,176.6663,159.6495,150.2456,140.9886,125.8132,122.3491,114.8186,108.6318,100,92.38346,87.25169,82.86126,79.87984,77.24471,72.60777,66.46268,65.83173,63.71254,62.6184,61.35341,59.11023,51.61661,52.22247,54.17033,45.04935
201.3461,219.2221,214.1372,187.5881,202.1222,211.4985,203.3154,187.6678,178.7274,161.3955,151.647,142.1213,126.5098,122.8258,115.1689,108.7816,100,92.25113,86.96954,82.7667,79.69032,77.02439,72.3215,66.13568,65.55601,63.52664,62.45834,61.13932,58.98199,51.42138,52.05309,53.91092,44.83801
